,FEEDBACK_APP,FEEDBACK_VALUE,USER_ID,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
238,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
239,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
240,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
241,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
242,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
243,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
244,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
263,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,1369900976,0.0,0.0,8403563.6,19952220.28,128177.0976,55337.14445,4.0,4.0
264,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,1369900976,0.0,0.0,8403563.6,19952220.28,128177.0976,55337.14445,4.0,4.0
265,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,1369900976,0.0,0.0,8403563.6,19952220.28,128177.0976,55337.14445,4.0,4.0
266,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,1369900976,0.0,0.0,8403563.6,19952220.28,128177.0976,55337.14445,4.0,4.0
267,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,1369900976,0.0,0.0,8403563.6,19952220.28,128177.0976,55337.14445,4.0,4.0
