4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
YOUTUBE___VIDEO_PLAYBACK___S_1440___MOS,5,25:01.8,912525d0-1113-4b1e-9a7b-dc022ef005ba,24:39.7,2245676.07,0,0,193027.02,169245.48,9770906.29,15521064.44,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-75,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-65,4,INRIA-interne
YOUTUBE___COMMENT___MOS,5,10:48.4,86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d,10:27.9,3595185.15,0,0,414335.76,215974.04,2249565.159,9497517.647,5,5,UNKNOWN,UNKNOWN,86052336,3062,382,,,-75,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-68,3,INRIA-interne
WHATSAPP___GENERAL___MOS,5,13:31.8,912525d0-1113-4b1e-9a7b-dc022ef005ba,13:35.0,3428869.25,0,0,531607.24,282586.19,10443743.3,19239776.05,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-89,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-78,3,INRIA-interne
SNAPCHAT___GENERAL___MOS,4,13:50.8,86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d,13:50.1,2855095.56,0,0,431511.45,221871.17,13459051.34,16742506.38,5,5,UNKNOWN,UNKNOWN,86052336,3062,382,,,-93,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-82,2,INRIA-interne
INSTAGRAM___GENERAL___MOS,5,17:00.6,86778d4a-c2f6-4d95-8ed8-de5bb5f8eb4d,17:27.0,2673736.3,0,0,328494.64,207524.32,10904864.05,11157897.08,5,5,UNKNOWN,UNKNOWN,86052336,3062,382,,,-89,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-80,2,INRIA-interne
EMAIL___GENERAL___MOS,5,08:23.4,12116e97-7d56-4d5c-bbfa-b14379ebceb0,08:09.1,2330956.07,0,0,172071.5,165822.58,10879413.23,18554842.5,5,5,UNKNOWN,UNKNOWN,86052336,3062,382,,,-81,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-66,4,INRIA-interne
YOUTUBE___VIDEO_PLAYBACK___P_480___MOS,5,58:01.9,e16fa793-50d5-465a-b2c7-068092626b95,57:58.9,2483519.55,0,0,233755.64,212969.58,10079870.36,14183895.46,5,5,UNKNOWN,UNKNOWN,,,,,,-67,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-69,3,INRIA-interne
YOUTUBE___VIDEO_PLAYBACK___P_360___MOS,5,31:36.1,26085c71-3a85-4ac0-8999-411dd70d478b,31:52.3,2474555.44,0,0,232472.74,247841.6,9896656.592,10786506.75,5,5,UNKNOWN,UNKNOWN,86052336,3062,382,,,-87,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-68,3,INRIA-interne
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,5,59:51.9,6953c3b1-0a0c-4388-8514-6c7f6157150d,00:14.2,66369069.07,0,0,485304.78,1733161.92,18033919.27,8999064.861,5,5,UNKNOWN,UNKNOWN,,,,,,-113,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-29,5,Post Electro Doom
YOUTUBE___VIDEO_PLAYBACK___P_AUTO___MOS,5,59:51.9,6953c3b1-0a0c-4388-8514-6c7f6157150d,00:14.2,66369069.07,0,0,485304.78,1733161.92,18033919.27,8999064.861,5,5,UNKNOWN,UNKNOWN,,,,,,-113,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-29,5,Post Electro Doom
