FB Mos 1 vs ITU_QoE,ITU_QoE_Class_1,FB MoS 2 vs IUT_QoE,IUT_QoE_Class_2,FB MoS 3 vs ITU_QoE,ITU_QoE_Class_3,FB MoS 4 vs ITU_QoE,ITU_QoE_Class_4,FB MoS 5 vs ITU_QoE,ITU_QoE_Class_5
1.687825629,1.687825629,2.164024962,2.164024962,2.024479738,2.024479738,1.722046416,1.722046416,1.876509705,1.876509705
1.687825629,1.687825629,2.164024962,2.164024962,2.107152878,2.107152878,1.722046416,1.722046416,1.876509705,1.876509705
1.687825629,1.687825629,2.164024962,2.164024962,2.107152878,2.107152878,1.722046416,1.722046416,1.876509705,1.876509705
1.694047644,1.694047644,2.166664368,2.166664368,2.132747002,2.132747002,1.722046416,1.722046416,1.876509705,1.876509705
1.694047644,1.694047644,2.166664368,2.166664368,2.132832666,2.132832666,1.722046416,1.722046416,1.876509705,1.876509705
1.694047644,1.694047644,2.173106005,2.173106005,2.132832666,2.132832666,1.722046416,1.722046416,1.881360384,1.881360384
1.694047644,1.694047644,2.178477048,2.178477048,2.166664368,2.166664368,1.727299599,1.727299599,1.881360384,1.881360384
1.706787318,1.706787318,2.178477048,2.178477048,2.166664368,2.166664368,1.727299599,1.727299599,1.881360384,1.881360384
1.706787318,1.706787318,2.179123538,2.179123538,2.166664368,2.166664368,1.729548698,1.729548698,1.881360384,1.881360384
1.706787318,1.706787318,2.205259989,2.205259989,2.166664368,2.166664368,1.729548698,1.729548698,1.881360384,1.881360384
1.706787318,1.706787318,2.205259989,2.205259989,2.166664368,2.166664368,1.731418392,1.731418392,1.918044208,1.918044208
1.706787318,1.706787318,2.205259989,2.205259989,2.166664368,2.166664368,1.731418392,1.731418392,1.918044208,1.918044208
1.707649223,1.707649223,2.205259989,2.205259989,2.166664368,2.166664368,1.731418392,1.731418392,1.947713287,1.947713287
1.712439489,1.712439489,2.205259989,2.205259989,2.166664368,2.166664368,1.732017993,1.732017993,1.947713287,1.947713287
1.712439489,1.712439489,2.205259989,2.205259989,2.166664368,2.166664368,1.732017993,1.732017993,1.947713287,1.947713287
1.712439489,1.712439489,2.205259989,2.205259989,2.166664368,2.166664368,1.742461457,1.742461457,1.947713287,1.947713287
1.712439489,1.712439489,2.205259989,2.205259989,2.166664368,2.166664368,1.742461457,1.742461457,1.953763751,1.953763751
1.712439489,1.712439489,2.205259989,2.205259989,2.177176662,2.177176662,1.742461457,1.742461457,1.953763751,1.953763751
1.712439489,1.712439489,2.205259989,2.205259989,2.178415514,2.178415514,1.742461457,1.742461457,1.953763751,1.953763751
1.712439489,1.712439489,2.205259989,2.205259989,2.183074347,2.183074347,1.742461457,1.742461457,1.967888729,1.967888729
1.712439489,1.712439489,2.205259989,2.205259989,2.186824407,2.186824407,1.742461457,1.742461457,1.969395029,1.969395029
1.712439489,1.712439489,2.205259989,2.205259989,2.186824407,2.186824407,1.742461457,1.742461457,1.973296425,1.973296425
1.712439489,1.712439489,2.205259989,2.205259989,2.186824407,2.186824407,1.749120434,1.749120434,1.984876517,1.984876517
1.712439489,1.712439489,2.205259989,2.205259989,2.189200406,2.189200406,1.749120434,1.749120434,2.005618939,2.005618939
